Parallel Strategy,Strategy Description,Threads,Runtime (seconds),Speedup,Efficiency
0,dynamic scheduling,1,0.658649,1.0,1.0
0,dynamic scheduling,2,0.370146,1.7794302788629355,0.8897151394314677
0,dynamic scheduling,4,0.305309,2.1573193060145623,0.5393298265036406
0,dynamic scheduling,8,0.624189,1.0552076374303296,0.1319009546787912
0,dynamic scheduling,16,0.94847,0.6944331396881294,0.043402071230508085
1,static scheduling,1,0.677864,1.0,1.0
1,static scheduling,2,0.401997,1.6862414396127334,0.8431207198063667
1,static scheduling,4,0.199373,3.3999789339579585,0.8499947334894896
1,static scheduling,8,0.827815,0.8188592861931713,0.10235741077414641
1,static scheduling,16,0.908699,0.7459719885242528,0.0466232492827658
